date(dd-mm-yyy),time(hh:mm:ss),channel(1-40),intensity(%),interval(sec.)
1-1-2000,4:48:33,1,22,0
1-1-2000,4:48:33,11,22,0
1-1-2000,4:48:33,21,22,0
1-1-2000,4:48:33,31,22,0
1-1-2000,4:48:33,3,22,0
1-1-2000,4:48:33,13,22,0
1-1-2000,4:48:33,23,22,0
1-1-2000,4:48:33,33,22,0
1-1-2000,4:48:33,8,22,0
1-1-2000,4:48:33,18,22,0
1-1-2000,4:48:33,28,22,0
1-1-2000,4:48:33,38,22,0
1-1-2000,4:48:33,10,22,0
1-1-2000,4:48:33,20,22,0
1-1-2000,4:48:33,30,22,0
1-1-2000,4:48:33,40,22,0
1-1-2000,4:48:38,1,21,0
1-1-2000,4:48:38,11,21,0
1-1-2000,4:48:38,21,21,0
1-1-2000,4:48:38,31,21,0
1-1-2000,4:48:38,3,21,0
1-1-2000,4:48:38,13,21,0
1-1-2000,4:48:38,23,21,0
1-1-2000,4:48:38,33,21,0
1-1-2000,4:48:38,8,21,0
1-1-2000,4:48:38,18,21,0
1-1-2000,4:48:38,28,21,0
1-1-2000,4:48:38,38,21,0
1-1-2000,4:48:38,10,21,0
1-1-2000,4:48:38,20,21,0
1-1-2000,4:48:38,30,21,0
1-1-2000,4:48:38,40,21,0
1-1-2000,4:48:43,1,20,0
1-1-2000,4:48:43,11,20,0
1-1-2000,4:48:43,21,20,0
1-1-2000,4:48:43,31,20,0
1-1-2000,4:48:43,3,20,0
1-1-2000,4:48:43,13,20,0
1-1-2000,4:48:43,23,20,0
1-1-2000,4:48:43,33,20,0
1-1-2000,4:48:43,8,20,0
1-1-2000,4:48:43,18,20,0
1-1-2000,4:48:43,28,20,0
1-1-2000,4:48:43,38,20,0
1-1-2000,4:48:43,10,20,0
1-1-2000,4:48:43,20,20,0
1-1-2000,4:48:43,30,20,0
1-1-2000,4:48:43,40,20,0
1-1-2000,4:48:47,1,19,0
1-1-2000,4:48:47,11,19,0
1-1-2000,4:48:47,21,19,0
1-1-2000,4:48:47,31,19,0
1-1-2000,4:48:47,3,19,0
1-1-2000,4:48:47,13,19,0
1-1-2000,4:48:47,23,19,0
1-1-2000,4:48:47,33,19,0
